Ls [Deg]	OMEGA pressure [Pa]	MCD pressure [Pa]
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
8.136000	558.008876	564.480286
8.138000	554.165636	566.235291
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
8.750000	605.771311	574.302368
8.752000	573.065498	561.465271
8.755000	575.623817	564.954956
nan	nan	nan
nan	nan	nan
10.436000	556.997928	570.289673
nan	nan	nan
10.444000	588.087135	569.125854
11.195000	576.401159	570.098877
11.198000	560.106375	560.486755
nan	nan	nan
nan	nan	nan
nan	nan	nan
12.869000	592.112325	569.276306
nan	nan	nan
nan	nan	nan
nan	nan	nan
13.936000	548.779558	552.981934
14.530000	580.253453	584.563110
14.532000	563.766131	570.496704
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
15.737000	570.172517	566.694519
nan	nan	nan
nan	nan	nan
16.034000	566.451126	566.745789
16.037001	551.972549	560.940979
16.040001	543.361742	572.125549
nan	nan	nan
nan	nan	nan
16.636999	603.708283	584.713562
16.639999	561.978996	559.144409
16.643000	571.478993	566.683044
nan	nan	nan
nan	nan	nan
16.791000	698.183436	574.784729
nan	nan	nan
16.934999	587.571789	574.074646
16.937000	609.923027	585.114929
nan	nan	nan
nan	nan	nan
nan	nan	nan
17.687000	654.975713	582.127991
nan	nan	nan
nan	nan	nan
nan	nan	nan
18.134001	596.630335	584.340027
18.136000	591.817461	579.462341
18.139000	561.045462	576.362427
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
19.330999	565.640754	581.792053
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
19.777000	524.623061	560.879028
nan	nan	nan
nan	nan	nan
20.218000	594.752767	573.723877
20.219999	573.132273	572.897522
20.223000	582.578615	579.240540
nan	nan	nan
nan	nan	nan
20.663000	580.402540	562.555786
20.665001	586.296996	573.238770
nan	nan	nan
nan	nan	nan
nan	nan	nan
20.959000	568.482060	563.600037
20.962000	567.831591	569.899902
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
23.320000	591.437211	595.825562
23.323000	543.870939	561.801514
23.325001	565.959634	570.030396
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
23.622000	567.666038	564.962769
23.625000	544.353252	558.771667
23.627001	554.379151	566.695129
nan	nan	nan
24.058001	583.950642	579.002930
24.059999	576.665943	565.419373
24.063000	583.801866	577.230225
24.066000	569.997351	566.831970
nan	nan	nan
nan	nan	nan
26.111000	587.367696	583.942017
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
26.549000	580.050413	591.389343
26.551001	570.085379	589.025879
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
27.431999	528.897389	560.879028
nan	nan	nan
nan	nan	nan
nan	nan	nan
27.718000	592.927122	583.402710
27.721001	591.656991	581.317566
nan	nan	nan
nan	nan	nan
nan	nan	nan
27.862000	628.555467	577.728271
27.864000	601.879877	578.759033
27.867001	599.666880	581.320618
nan	nan	nan
27.872000	576.367638	585.437317
nan	nan	nan
nan	nan	nan
28.301001	609.853405	568.591431
28.302999	611.387837	579.639343
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
29.027000	564.075496	568.416199
29.030001	565.398827	573.180786
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
29.462999	582.688490	581.000977
29.466000	561.078297	578.564636
29.468000	548.705699	572.938538
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
30.705000	635.930951	589.268372
30.708000	615.598663	583.779419
30.709999	604.894306	574.896423
30.712999	586.663715	568.906189
nan	nan	nan
nan	nan	nan
32.536999	595.091885	576.808716
32.539001	626.264067	578.283142
32.542000	708.334370	593.968994
32.543999	678.624109	593.653748
nan	nan	nan
nan	nan	nan
32.919998	608.708853	597.057129
32.923000	603.173820	594.764465
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
34.964001	575.728759	578.092712
34.967999	588.208828	573.511475
nan	nan	nan
nan	nan	nan
nan	nan	nan
36.103001	551.724876	583.333130
36.105000	600.029063	576.212280
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
36.359001	602.372560	588.615967
36.362000	612.452593	591.197632
nan	nan	nan
nan	nan	nan
36.606998	582.732087	593.333435
36.609001	576.370388	586.262207
36.612000	580.806018	591.330383
36.615002	575.674388	587.795471
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
37.240002	706.791676	588.431030
nan	nan	nan
37.244999	609.689303	573.481750
37.244999	609.689303	573.481750
37.248001	623.026325	571.532837
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
37.872002	577.212780	592.530823
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
38.126999	595.266155	583.114807
nan	nan	nan
38.132000	715.525051	597.299255
nan	nan	nan
nan	nan	nan
nan	nan	nan
38.887001	581.718401	581.981995
38.889000	593.506677	576.680786
