Local Time [hour]	OMEGA Normalized Pressure [%]	MCD Normalized Pressure [%]
15.259620	-5.271816	-4.003036
15.259998	-10.929203	-4.003253
15.260806	-5.482814	-4.003545
15.261179	-10.761275	-4.003732
15.261559	-10.626354	-4.003989
15.261933	-10.856964	-4.004260
15.256506	-10.732721	-4.002128
15.256506	-10.546803	-4.002086
15.257040	-4.586767	-4.002709
15.257366	-10.307800	-4.002682
15.258113	-10.811060	-4.002719
15.258865	-10.470533	-4.002727
15.259246	-9.817919	-4.002764
15.259998	-10.212225	-4.003084
15.260806	-5.646977	-4.003359
15.261179	-10.359421	-4.003537
15.261559	-9.979479	-4.003841
15.256446	-9.542218	-4.002255
15.257040	-5.885331	-4.002995
15.257360	-5.160619	-4.002976
15.257686	-10.442196	-4.002852
15.258113	-5.939181	-4.002694
15.258865	-10.502779	-4.002570
15.259620	-4.984396	-4.002741
15.259993	-10.122675	-4.002929
15.260426	-10.363984	-4.003116
15.260799	-10.352639	-4.003281
15.261179	-4.426167	-4.003419
15.261553	-4.793892	-4.003751
15.261986	-10.505209	-4.004052
15.256499	-10.191050	-4.002551
15.257360	-10.938997	-4.003215
15.258113	-4.533486	-4.002834
15.258432	-10.412126	-4.002663
15.259993	-9.720879	-4.002711
15.260426	-10.507448	-4.002900
15.260799	-9.773221	-4.003086
15.261179	-9.886816	-4.003315
15.261553	-10.692248	-4.003572
15.261933	-5.327824	-4.003872
15.256499	-10.140037	-4.002839
15.256499	-10.053542	-4.002780
15.257093	-10.924326	-4.003613
15.257307	-9.973254	-4.003456
15.257740	-10.771151	-4.003163
15.258060	-10.440694	-4.002934
15.258487	-9.828815	-4.002574
15.258865	-9.685025	-4.002369
15.259239	-10.667569	-4.002252
15.259620	-4.930689	-4.002422
15.260799	-8.752539	-4.002909
15.261179	-10.458620	-4.003135
15.261986	-4.695843	-4.003835
15.256499	-10.231577	-4.003107
15.256499	-9.545963	-4.003117
15.257040	-9.315604	-4.004084
15.257360	-10.632040	-4.003784
15.258113	-10.492087	-4.003040
15.258432	-4.832157	-4.002761
15.258865	-9.452643	-4.002279
15.259993	-9.061617	-3.996849
15.260366	-3.307829	-3.994048
15.260799	-7.627446	-3.990666
15.261173	-2.667157	-3.987893
15.261553	-9.281315	-3.990024
15.261986	-10.153139	-3.993366
15.256499	-11.285935	-4.003679
15.256499	-10.193683	-4.003706
15.257040	-10.992781	-4.004858
15.257307	-9.855301	-4.004522
15.257732	-10.748035	-4.003881
15.258113	-10.435087	-4.003348
15.258432	-5.838011	-4.002866
15.259239	-4.842925	-3.999394
15.259612	-3.915575	-3.993993
15.259993	-2.178968	-3.988174
15.260420	-6.050523	-3.981182
15.261553	-1.677718	-3.974683
15.256499	-4.708891	-4.004258
15.257032	-6.185616	-4.005669
15.257307	-4.937072	-4.005182
15.257679	-11.029309	-4.004454
15.258113	-11.234652	-4.003655
15.258487	-10.350429	-4.002895
15.258860	-4.709291	-4.002152
15.259239	-8.889901	-3.997541
15.259612	-2.522063	-3.988769
15.259986	-7.075539	-3.979510
15.260366	-5.754113	-3.969885
15.260792	-4.600096	-3.958884
15.261173	-3.660697	-3.949858
15.261547	-0.484377	-3.959091
15.261926	-9.716350	-3.968686
15.256446	-10.807591	-4.004681
15.256499	-5.654943	-4.004928
15.257032	-6.059832	-4.006508
15.257360	-10.755980	-4.005675
15.257679	-10.557567	-4.004957
15.258106	-9.886684	-4.003873
15.258432	-5.106945	-4.003138
15.258860	-9.729223	-4.002053
15.259239	-9.417698	-3.995747
15.259612	-7.653674	-3.983462
15.261160	-0.753405	-3.930538
15.261539	-3.244768	-3.943401
15.256440	-4.965322	-4.005188
15.256493	-11.000438	-4.005447
15.257032	-10.928294	-4.007236
15.257353	-10.765665	-4.006338
15.257732	-5.363541	-4.005275
15.258432	-9.929414	-4.003286
15.258860	-10.015876	-4.002005
15.259239	-9.215036	-3.993943
15.259612	-5.947397	-3.978264
15.259986	-0.037023	-3.962332
15.260353	-4.911247	-3.946082
15.260779	-4.660529	-3.927756
15.261152	-0.891086	-3.912549
15.256440	-10.431239	-4.005491
15.256493	-10.695264	-4.005732
15.257032	-5.495425	-4.007566
15.257299	-11.554186	-4.006697
15.257679	-5.292486	-4.005527
15.258106	-10.091546	-4.004175
15.258860	-9.394275	-4.001781
15.259233	-8.494746	-3.993418
15.259606	-6.837204	-3.976733
15.260406	-4.423944	-3.940979
15.260779	-4.889285	-3.924110
15.261152	-6.677167	-3.908135
15.256440	-10.203208	-4.005333
15.256493	-10.974441	-4.005572
15.257032	-11.338416	-4.007513
15.257353	-9.853976	-4.006455
15.258106	-10.364712	-4.003962
15.258479	-9.751202	-4.002733
15.258860	-8.784914	-4.001502
15.259233	-7.005701	-3.992639
15.259606	-5.999252	-3.975121
15.259980	-0.038503	-3.957496
15.260406	-3.449628	-3.937274
15.256440	-5.388410	-4.005244
15.256493	-5.685952	-4.005485
15.257032	-5.866688	-4.007458
15.257299	-11.745262	-4.006516
15.257673	-10.927451	-4.005277
15.258106	-5.351785	-4.003806
15.258427	-9.937397	-4.002727
15.258860	-9.978538	-4.001246
15.259233	-8.409994	-3.992040
15.259606	-2.504706	-3.973770
15.259980	-5.050736	-3.955436
15.260406	0.290597	-3.934368
15.260779	-3.813029	-3.915937
15.261160	-6.749801	-3.898784
15.256493	-10.237181	-4.005392
15.256493	-10.148129	-4.005391
15.257079	-10.917396	-4.007150
15.257299	-11.002186	-4.006448
15.257673	-10.636246	-4.005144
15.258106	-10.545690	-4.003648
15.258427	-10.527032	-4.002485
15.259226	-7.725492	-3.991811
15.259600	-6.447407	-3.972830
15.260400	-4.010424	-3.931877
15.261152	-7.967022	-3.894114
15.256493	-10.540870	-4.005238
15.257027	-10.120202	-4.007228
15.257673	-10.365112	-4.004837
15.258106	-10.005186	-4.003345
15.258853	-4.912260	-4.000733
15.259226	-8.098082	-3.991983
15.259973	-6.244820	-3.957065
15.260346	-6.720786	-3.940146
15.261152	-9.247848	-3.905944
15.256487	-4.950698	-4.004179
15.256487	-5.337265	-4.004145
15.257079	-10.945485	-4.005745
15.257673	-10.942181	-4.003853
15.258101	-10.705718	-4.002549
15.258427	-10.385863	-4.001557
15.258853	-10.030829	-4.000287
15.259226	-9.201483	-3.993338
15.259600	-8.009230	-3.979653
15.259973	-6.916607	-3.966319
15.260400	-7.308251	-3.951619
15.256433	-6.682357	-4.002956
15.256487	-10.662472	-4.003024
15.257079	-11.028553	-4.004476
15.258101	-10.637777	-4.001752
15.258479	-10.679583	-4.000734
15.258801	-9.991573	-3.999914
15.259226	-4.633078	-3.994772
15.259600	-8.593923	-3.985082
15.259973	-4.124648	-3.975666
15.256433	-10.906422	-4.001860
15.256487	-9.997350	-4.002031
15.257079	-10.066612	-4.003184
15.257346	-5.668427	-4.002573
15.257673	-9.890827	-4.001903
15.258101	-10.697844	-4.000966
15.259226	-3.881031	-3.996199
15.259973	-4.129785	-3.985115
15.260406	-6.312482	-3.979145
15.256433	-9.957677	-4.000795
15.256433	-10.445656	-4.000823
15.257079	-10.610392	-4.001890
15.257719	-10.521132	-4.000777
15.258045	-9.452443	-4.000258
15.258472	-10.182617	-3.999526
15.258853	-5.459720	-3.998906
15.259600	-9.651202	-3.995854
15.259980	-9.298982	-3.994329
15.256433	-4.826847	-3.999867
15.256487	-10.263449	-3.999917
15.257667	-10.082384	-4.000050
15.258101	-5.661209	-3.999485
15.258472	-9.655812	-3.999049
15.258846	-9.949241	-3.998598
15.259600	-9.788792	-3.997520
15.259980	-6.211523	-3.996849
15.260406	-10.141231	-3.996324
15.261160	-10.373541	-3.995290
15.261539	-10.211053	-3.996435
15.256487	-10.109139	-3.999300
15.257072	-10.039204	-4.000005
15.257719	-10.106212	-3.999383
15.258093	-6.070216	-3.999084
15.258419	-10.223300	-3.998782
15.259226	-9.997074	-3.998036
15.259600	-5.374153	-3.997634
15.259980	-10.988378	-3.997334
15.260406	-6.369402	-3.996859
15.261160	-11.200841	-3.996353
15.261539	-11.213209	-3.997208
15.256479	-10.729308	-3.998560
15.257020	-5.790253	-3.999219
15.257667	-9.594976	-3.998797
15.258093	-10.715807	-3.998588
15.258419	-10.378951	-3.998424
15.258846	-11.192544	-3.998165
15.259226	-6.021721	-3.997943
15.259600	-10.275948	-3.997755
15.259980	-9.912415	-3.997615
15.260406	-10.032506	-3.997469
15.261160	-11.809869	-3.997330
15.261539	-10.131921	-3.997970
15.261913	-10.606078	-3.998649
15.256426	-5.313611	-3.997888
15.256479	-10.187877	-3.997859
15.257339	-10.462838	-3.998243
15.258093	-9.724238	-3.998075
15.258419	-6.034808	-3.998010
15.258846	-5.497803	-3.997952
15.259226	-10.544770	-3.997886
15.259600	-5.948713	-3.997957
15.261160	-10.987090	-3.998327
15.261539	-6.797078	-3.998767
15.261967	-10.306665	-3.999281
15.256479	-10.047064	-3.997198
15.257339	-9.751653	-3.997570
15.257659	-5.730209	-3.997577
15.258093	-9.611304	-3.997598
15.258467	-10.872741	-3.997644
15.258846	-11.497441	-3.997725
15.259600	-10.404549	-3.998128
15.259973	-9.852979	-3.998393
15.260779	-11.711213	-3.998853
15.261160	-10.640070	-3.999119
15.261533	-11.483300	-3.999365
15.261967	-10.188238	-3.999618
15.256479	-10.140626	-3.996519
15.257339	-10.020070	-3.996813
15.258093	-5.539422	-3.997076
15.258413	-9.768951	-3.997196
15.258846	-5.475166	-3.997380
15.259600	-5.443194	-3.997894
15.259973	-9.058979	-3.998103
15.260779	-7.333430	-3.998677
15.261160	-11.445093	-3.998944
15.261533	-7.122826	-3.999164
15.261967	-3.493225	-3.999408
15.256479	-10.818556	-3.995782
15.257067	-6.480102	-3.995925
15.258467	-10.936838	-3.996828
15.258846	-5.478769	-3.997102
15.259220	-9.877380	-3.997343
15.259600	-6.088923	-3.997629
15.261533	-9.940126	-3.999005
15.261967	-7.336382	-3.999272
15.256426	-5.423897	-3.995096
15.258413	-10.525114	-3.996335
15.258839	-10.489475	-3.996766
15.259594	-5.134697	-3.997393
15.259973	-10.195968	-3.997679
15.260400	-10.968516	-3.998011
15.261160	-9.554901	-3.998612
15.261533	-10.530060	-3.998854
15.256420	-6.245400	-3.994516
15.256420	-10.506972	-3.994433
15.257067	-10.828739	-3.994296
15.257280	-6.104358	-3.994518
15.257659	-10.740869	-3.994938
15.258086	-10.218299	-3.995525
15.258413	-11.381758	-3.995932
15.259220	-6.672391	-3.996889
15.259594	-6.208400	-3.997138
15.260400	-10.265969	-3.997825
15.260779	-9.093193	-3.998119
15.261152	-6.342259	-3.998457
15.261533	-11.156464	-3.998668
15.261967	-9.257749	-3.998827
15.256420	-6.439761	-3.993764
15.256474	-5.946247	-3.993710
15.257280	-10.055818	-3.993791
15.257713	-10.685643	-3.994465
15.258413	-9.765394	-3.995330
15.258839	-11.028305	-3.996099
15.259220	-10.373133	-3.996592
15.259594	-10.845701	-3.996925
15.259973	-10.485196	-3.997215
15.260346	-10.565313	-3.997597
15.260779	-10.289316	-3.997962
15.261152	-11.369770	-3.998259
15.261533	-10.081501	-3.998433
15.261959	-10.199436	-3.998663
15.256420	-9.941300	-3.990192
15.256474	-10.300992	-3.990120
15.257012	-9.969112	-3.990718
15.257333	-5.786261	-3.991444
15.257713	-6.360956	-3.992448
15.258467	-10.816130	-3.994465
15.258839	-6.368896	-3.995559
15.259212	-10.838521	-3.996328
15.259594	-10.947224	-3.996709
15.259966	-10.129535	-3.996973
15.260400	-5.852645	-3.997362
15.260779	-10.180744	-3.997694
15.261152	-9.415005	-3.998023
15.261585	-9.954960	-3.998229
15.261959	-5.889800	-3.998328
15.256420	-9.971647	-3.985968
15.257067	-10.759497	-3.988129
15.257280	-10.672371	-3.988844
15.257706	-10.601340	-3.990443
15.258086	-10.698312	-3.991926
15.258460	-9.593793	-3.993433
15.258839	-5.370217	-3.994975
15.259212	-11.028851	-3.996108
15.259966	-10.440046	-3.996727
15.260346	-9.940337	-3.997093
15.260774	-10.211282	-3.997443
15.261533	-10.473002	-3.997921
15.261959	-10.292528	-3.998143
15.256474	-5.617107	-3.982085
15.256474	-10.599485	-3.981823
15.257006	-6.690242	-3.985019
15.257333	-10.881297	-3.986589
15.257706	-11.347362	-3.988450
15.258086	-7.405603	-3.990460
15.258406	-6.607480	-3.992136
15.259966	-10.015045	-3.996509
15.260400	-10.987211	-3.996871
15.261152	-10.572454	-3.997492
15.261959	-10.959528	-3.997829
15.258460	-10.376142	-3.991386
15.258839	-10.099783	-3.993966
15.259212	-6.491510	-3.995548
15.259594	-9.827161	-3.995899
15.259966	-10.087405	-3.996241
15.260774	-11.302987	-3.996886
15.261152	-5.534945	-3.997249
15.261959	-5.842605	-3.997570
15.258080	-11.295405	-3.988435
15.258406	-10.331609	-3.990726
15.259586	-5.985876	-3.995663
15.261526	-10.113001	-3.997175
15.261959	-10.374176	-3.997316
15.257653	-11.366377	-3.987264
15.258080	-11.084941	-3.989714
15.258460	-6.233804	-3.991855
15.258833	-9.997943	-3.993870
15.259212	-10.097597	-3.995197
15.259586	-5.300856	-3.995465
15.259966	-10.148369	-3.995759
15.260340	-10.465984	-3.996069
15.260774	-6.414162	-3.996474
15.261147	-10.452566	-3.996697
15.261526	-10.223645	-3.996885
15.261959	-9.683009	-3.997118
15.257653	-11.870470	-3.989206
15.258080	-11.221254	-3.991013
15.258406	-10.402388	-3.992377
15.258833	-9.442909	-3.994060
15.259586	-5.241369	-3.995319
15.259966	-9.571017	-3.995572
15.260340	-5.711267	-3.995841
15.260774	-4.367654	-3.996178
15.261147	-9.819070	-3.996436
15.261526	-10.824167	-3.996668
15.261899	-9.612275	-3.996858
15.256413	-10.290031	-3.986501
15.256466	-11.268032	-3.986989
15.257059	-10.913659	-3.989353
15.257326	-10.552006	-3.990197
15.257706	-10.487662	-3.991293
15.258027	-9.903084	-3.992190
15.258400	-10.450537	-3.993142
15.258833	-9.550140	-3.994264
15.259207	-9.605214	-3.994827
15.259586	-9.772012	-3.995121
15.259960	-10.597947	-3.995388
15.260393	-9.519734	-3.995646
15.260774	-9.120032	-3.995919
15.261147	-9.306667	-3.996185
15.261526	-9.685922	-3.996423
15.261953	-10.912997	-3.996688
15.256413	-6.124456	-3.990772
15.256466	-9.794376	-3.991022
15.257000	-9.898834	-3.992082
15.257273	-9.473193	-3.992575
15.257647	-10.421837	-3.993052
15.258080	-10.176608	-3.993631
15.258400	-10.260271	-3.994006
15.258833	-9.456506	-3.994384
15.259207	-8.825506	-3.994692
15.259586	-9.634512	-3.994961
15.260340	-5.687349	-3.995427
15.260766	-6.320467	-3.995718
15.261147	-10.425761	-3.995924
15.261526	-10.563669	-3.996152
15.261953	-10.939663	-3.996416
15.256413	-10.346174	-3.993333
15.256466	-10.278366	-3.993322
15.257000	-11.007295	-3.993492
15.257273	-7.236791	-3.993619
15.257699	-10.686239	-3.993851
15.258080	-10.548928	-3.993962
15.258400	-9.687911	-3.994149
15.258833	-9.605863	-3.994334
15.259207	-10.648372	-3.994549
15.259586	-10.201044	-3.994755
15.260393	-11.024836	-3.995263
15.260766	-5.707349	-3.995439
15.261147	-9.730010	-3.995639
15.261520	-10.506102	-3.995943
15.261899	-9.906775	-3.996098
15.256406	-11.072381	-3.993201
15.256466	-10.754833	-3.993145
15.257053	-7.322923	-3.993262
15.257647	-10.842877	-3.993545
15.258019	-9.585389	-3.993714
15.258400	-10.190244	-3.993924
15.258826	-6.629931	-3.994180
15.259207	-6.395560	-3.994324
15.259580	-5.143974	-3.994588
15.259960	-9.864764	-3.994783
15.260393	-5.398807	-3.994995
15.260766	-10.191894	-3.995218
15.261147	-6.284603	-3.995462
15.261520	-4.728059	-3.995583
15.256406	-10.080987	-3.993055
15.256458	-6.253984	-3.992976
15.257000	-10.663328	-3.992986
15.257266	-7.431350	-3.993112
15.258072	-11.297879	-3.993574
15.258400	-6.824326	-3.993753
15.259960	-6.529202	-3.994598
15.260387	-10.282971	-3.994815
15.260766	-5.699276	-3.994945
15.261520	-9.833091	-3.995374
15.261953	-5.528152	-3.995573
15.256458	-11.141256	-3.992842
15.257000	-10.290026	-3.992755
15.257266	-10.024189	-3.992871
15.257647	-9.942892	-3.993083
15.258072	-6.488281	-3.993337
15.258826	-10.657914	-3.993786
15.259207	-7.018470	-3.994029
15.259580	-5.555017	-3.994198
15.259960	-9.581005	-3.994376
15.260766	-10.004988	-3.994772
15.261140	-5.478907	-3.994891
15.261520	-9.665138	-3.995096
15.261953	-9.903493	-3.995304
15.256458	-10.934759	-3.992664
15.256458	-7.359000	-3.992695
15.257266	-10.299707	-3.992655
