Ls [Deg]	OMEGA pressure [Pa]	MCD pressure [Pa]
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
8.136000	547.377596	564.480286
8.138000	553.999888	566.235291
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
8.750000	601.448936	574.302368
8.752000	566.065942	561.465271
8.755000	571.491496	564.954956
nan	nan	nan
nan	nan	nan
10.436000	559.099288	570.289673
nan	nan	nan
10.444000	570.755719	569.125854
11.195000	576.275206	570.098877
11.198000	560.964494	560.486755
nan	nan	nan
nan	nan	nan
nan	nan	nan
12.869000	589.005078	569.276306
nan	nan	nan
nan	nan	nan
nan	nan	nan
13.936000	541.731463	552.981934
14.530000	564.486418	584.563110
14.532000	558.933409	570.496704
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
15.737000	569.581970	566.694519
nan	nan	nan
nan	nan	nan
16.034000	555.389363	566.745789
16.037001	552.216726	560.940979
16.040001	543.589960	572.125549
nan	nan	nan
nan	nan	nan
16.636999	602.107201	584.713562
16.639999	561.420594	559.144409
16.643000	564.232385	566.683044
nan	nan	nan
nan	nan	nan
16.791000	647.492494	574.784729
nan	nan	nan
16.934999	572.948425	574.074646
16.937000	583.520747	585.114929
nan	nan	nan
nan	nan	nan
nan	nan	nan
17.687000	605.666425	582.127991
nan	nan	nan
nan	nan	nan
nan	nan	nan
18.134001	575.902372	584.340027
18.136000	581.993315	579.462341
18.139000	557.164964	576.362427
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
19.330999	559.566917	581.792053
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
19.777000	525.140628	560.879028
nan	nan	nan
nan	nan	nan
20.218000	589.841844	573.723877
20.219999	570.780889	572.897522
20.223000	580.058215	579.240540
nan	nan	nan
nan	nan	nan
20.663000	580.608393	562.555786
20.665001	587.694167	573.238770
nan	nan	nan
nan	nan	nan
nan	nan	nan
20.959000	568.440123	563.600037
20.962000	568.752345	569.899902
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
23.320000	582.538950	595.825562
23.323000	542.262151	561.801514
23.325001	564.285964	570.030396
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
23.622000	504.699144	564.962769
23.625000	540.203092	558.771667
23.627001	548.340370	566.695129
nan	nan	nan
24.058001	578.919358	579.002930
24.059999	576.099069	565.419373
24.063000	582.327247	577.230225
24.066000	557.929300	566.831970
nan	nan	nan
nan	nan	nan
26.111000	583.421421	583.942017
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
26.549000	578.545601	591.389343
26.551001	570.244765	589.025879
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
27.431999	511.938232	560.879028
nan	nan	nan
nan	nan	nan
nan	nan	nan
27.718000	571.161100	583.402710
27.721001	568.876281	581.317566
nan	nan	nan
nan	nan	nan
nan	nan	nan
27.862000	623.225907	577.728271
27.864000	595.545706	578.759033
27.867001	597.520681	581.320618
nan	nan	nan
27.872000	570.467928	585.437317
nan	nan	nan
nan	nan	nan
28.301001	606.001638	568.591431
28.302999	609.131331	579.639343
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
29.027000	563.826550	568.416199
29.030001	565.501637	573.180786
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
29.462999	576.911505	581.000977
29.466000	561.576108	578.564636
29.468000	548.973734	572.938538
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
30.705000	624.566819	589.268372
30.708000	593.385699	583.779419
30.709999	583.966601	574.896423
30.712999	583.702903	568.906189
nan	nan	nan
nan	nan	nan
32.536999	586.626746	576.808716
32.539001	624.061230	578.283142
32.542000	707.272616	593.968994
32.543999	681.009417	593.653748
nan	nan	nan
nan	nan	nan
32.919998	604.020249	597.057129
32.923000	597.447638	594.764465
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
34.964001	576.421843	578.092712
34.967999	588.819490	573.511475
nan	nan	nan
nan	nan	nan
nan	nan	nan
36.103001	549.936855	583.333130
36.105000	597.987524	576.212280
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
36.359001	596.626453	588.615967
36.362000	609.881766	591.197632
nan	nan	nan
nan	nan	nan
36.606998	581.562849	593.333435
36.609001	572.686287	586.262207
36.612000	576.778919	591.330383
36.615002	571.297965	587.795471
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
37.240002	660.835249	588.431030
nan	nan	nan
37.244999	609.030223	573.481750
37.244999	609.030223	573.481750
37.248001	622.203495	571.532837
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
37.872002	559.810262	592.530823
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
nan	nan	nan
38.126999	594.589811	583.114807
nan	nan	nan
38.132000	693.547100	597.299255
nan	nan	nan
nan	nan	nan
nan	nan	nan
38.887001	560.650936	581.981995
38.889000	569.007215	576.680786
