Local Time [hour]	Ptides [%]	Ls [deg]
5.000000	1.465849	70.000000
6.000000	2.007817	70.000000
7.000000	2.710392	70.000000
8.000000	3.413100	70.000000
9.000000	2.818179	70.000000
10.000000	2.223215	70.000000
11.000000	1.110963	70.000000
12.000000	0.000000	70.000000
13.000000	-0.937296	70.000000
14.000000	-1.873393	70.000000
15.000000	-2.644344	70.000000
16.000000	-3.414939	70.000000
17.000000	-3.511496	70.000000
18.000000	-3.608054	70.000000
19.000000	-2.439297	70.000000
20.000000	-1.270495	70.000000
21.000000	-0.877832	70.000000
22.000000	-0.485062	70.000000
23.000000	-0.033690	70.000000
24.000000	0.417833	70.000000
0.000000	0.699415	80.000000
1.000000	0.746065	80.000000
2.000000	0.792814	80.000000
3.000000	0.942458	80.000000
4.000000	1.092283	80.000000
5.000000	1.642814	80.000000
6.000000	2.193590	80.000000
7.000000	2.929789	80.000000
8.000000	3.666132	80.000000
9.000000	3.017278	80.000000
10.000000	2.368369	80.000000
11.000000	1.183519	80.000000
12.000000	0.000000	80.000000
13.000000	-0.968254	80.000000
14.000000	-1.935331	80.000000
15.000000	-2.722570	80.000000
16.000000	-3.509474	80.000000
17.000000	-3.593243	80.000000
18.000000	-3.677012	80.000000
19.000000	-2.454401	80.000000
20.000000	-1.231771	80.000000
21.000000	-0.765335	80.000000
22.000000	-0.298790	80.000000
23.000000	0.200258	80.000000
24.000000	0.699415	80.000000
0.000000	1.078680	90.000000
1.000000	1.100287	90.000000
2.000000	1.122023	90.000000
3.000000	1.281398	90.000000
4.000000	1.440950	90.000000
5.000000	1.972589	90.000000
6.000000	2.504497	90.000000
7.000000	3.232725	90.000000
8.000000	3.961112	90.000000
9.000000	3.215552	90.000000
10.000000	2.469908	90.000000
11.000000	1.234200	90.000000
12.000000	0.000000	90.000000
13.000000	-0.954453	90.000000
14.000000	-1.907797	90.000000
15.000000	-2.681623	90.000000
16.000000	-3.455085	90.000000
17.000000	-3.504621	90.000000
18.000000	-3.554167	90.000000
19.000000	-2.239055	90.000000
20.000000	-0.923915	90.000000
21.000000	-0.428468	90.000000
22.000000	0.067101	90.000000
23.000000	0.572821	90.000000
24.000000	1.078680	90.000000
0.000000	1.479850	100.000000
1.000000	1.474976	100.000000
2.000000	1.470236	100.000000
3.000000	1.639878	100.000000
4.000000	1.809683	100.000000
5.000000	2.321326	100.000000
6.000000	2.833228	100.000000
7.000000	3.552961	100.000000
8.000000	4.272886	100.000000
9.000000	3.424995	100.000000
10.000000	2.576998	100.000000
11.000000	1.287646	100.000000
12.000000	0.000000	100.000000
13.000000	-0.939914	100.000000
14.000000	-1.878739	100.000000
15.000000	-2.638355	100.000000
16.000000	-3.397625	100.000000
17.000000	-3.410930	100.000000
18.000000	-3.424243	100.000000
19.000000	-2.011290	100.000000
20.000000	-0.598327	100.000000
21.000000	-0.072167	100.000000
22.000000	0.454109	100.000000
23.000000	0.966908	100.000000
24.000000	1.479850	100.000000
0.000000	1.878593	110.000000
1.000000	1.861039	110.000000
2.000000	1.843714	110.000000
3.000000	1.994024	110.000000
4.000000	2.144563	110.000000
5.000000	2.578066	110.000000
6.000000	3.011860	110.000000
7.000000	3.716975	110.000000
8.000000	4.422320	110.000000
9.000000	3.517837	110.000000
10.000000	2.613255	110.000000
11.000000	1.305614	110.000000
12.000000	0.000000	110.000000
13.000000	-0.939311	110.000000
14.000000	-1.877445	110.000000
15.000000	-2.619975	110.000000
16.000000	-3.362136	110.000000
17.000000	-3.324781	110.000000
18.000000	-3.287435	110.000000
19.000000	-1.718668	110.000000
20.000000	-0.149870	110.000000
21.000000	0.337535	110.000000
22.000000	0.825109	110.000000
23.000000	1.351756	110.000000
24.000000	1.878593	110.000000
0.000000	2.271898	120.000000
1.000000	2.256728	120.000000
2.000000	2.241764	120.000000
3.000000	2.340665	120.000000
4.000000	2.439803	120.000000
5.000000	2.732395	120.000000
6.000000	3.025287	120.000000
7.000000	3.709362	120.000000
8.000000	4.393581	120.000000
9.000000	3.482727	120.000000
10.000000	2.571812	120.000000
11.000000	1.284625	120.000000
12.000000	0.000000	120.000000
13.000000	-0.953555	120.000000
14.000000	-1.905716	120.000000
15.000000	-2.627959	120.000000
16.000000	-3.349810	120.000000
17.000000	-3.246593	120.000000
18.000000	-3.143323	120.000000
19.000000	-1.356780	120.000000
20.000000	0.429857	120.000000
21.000000	0.803010	120.000000
22.000000	1.176400	120.000000
23.000000	1.724035	120.000000
24.000000	2.271898	120.000000
0.000000	2.686063	130.000000
1.000000	2.673180	130.000000
2.000000	2.660626	130.000000
3.000000	2.705143	130.000000
4.000000	2.749894	130.000000
5.000000	2.893654	130.000000
6.000000	3.037700	130.000000
7.000000	3.699556	130.000000
8.000000	4.361582	130.000000
9.000000	3.444286	130.000000
10.000000	2.527011	130.000000
11.000000	1.261972	130.000000
12.000000	0.000000	130.000000
13.000000	-0.968234	130.000000
14.000000	-1.934780	130.000000
15.000000	-2.635550	130.000000
16.000000	-3.335853	130.000000
17.000000	-3.163261	130.000000
18.000000	-2.990689	130.000000
19.000000	-0.974495	130.000000
20.000000	1.041849	130.000000
21.000000	1.294105	130.000000
22.000000	1.546648	130.000000
23.000000	2.116202	130.000000
24.000000	2.686063	130.000000
0.000000	2.848459	140.000000
1.000000	2.845307	140.000000
2.000000	2.842469	140.000000
3.000000	2.832734	140.000000
4.000000	2.823280	140.000000
5.000000	2.864431	140.000000
6.000000	2.905852	140.000000
7.000000	3.615774	140.000000
8.000000	4.325824	140.000000
9.000000	3.392728	140.000000
10.000000	2.459686	140.000000
11.000000	1.228159	140.000000
12.000000	0.000000	140.000000
13.000000	-0.955695	140.000000
14.000000	-1.909556	140.000000
15.000000	-2.602004	140.000000
16.000000	-3.294010	140.000000
17.000000	-3.123567	140.000000
18.000000	-2.953091	140.000000
19.000000	-0.799606	140.000000
20.000000	1.354106	140.000000
21.000000	1.493360	140.000000
22.000000	1.632970	140.000000
23.000000	2.240515	140.000000
24.000000	2.848459	140.000000
0.000000	2.742318	150.000000
1.000000	2.756230	150.000000
2.000000	2.770489	150.000000
3.000000	2.708981	150.000000
4.000000	2.647787	150.000000
5.000000	2.638877	150.000000
6.000000	2.630261	150.000000
7.000000	3.459476	150.000000
8.000000	4.288811	150.000000
9.000000	3.330577	150.000000
10.000000	2.372398	150.000000
11.000000	1.184419	150.000000
12.000000	0.000000	150.000000
13.000000	-0.915488	150.000000
14.000000	-1.829087	150.000000
15.000000	-2.527504	150.000000
16.000000	-3.225422	150.000000
17.000000	-3.131336	150.000000
18.000000	-3.037251	150.000000
19.000000	-0.848325	150.000000
20.000000	1.340839	150.000000
21.000000	1.380285	150.000000
22.000000	1.420101	150.000000
23.000000	2.080960	150.000000
24.000000	2.742318	150.000000
0.000000	2.635999	160.000000
1.000000	2.666984	160.000000
2.000000	2.698326	160.000000
3.000000	2.584989	160.000000
4.000000	2.471954	160.000000
5.000000	2.412935	160.000000
6.000000	2.354218	160.000000
7.000000	3.302816	160.000000
8.000000	4.251554	160.000000
9.000000	3.268156	160.000000
10.000000	2.284867	160.000000
11.000000	1.140591	160.000000
12.000000	0.000000	160.000000
13.000000	-0.875226	160.000000
14.000000	-1.748475	160.000000
15.000000	-2.452825	160.000000
16.000000	-3.156624	160.000000
17.000000	-3.139008	160.000000
18.000000	-3.121370	160.000000
19.000000	-0.896971	160.000000
20.000000	1.327710	160.000000
21.000000	1.267178	160.000000
22.000000	1.207002	160.000000
23.000000	1.921274	160.000000
24.000000	2.635999	160.000000
0.000000	2.425401	170.000000
1.000000	2.449631	170.000000
2.000000	2.474288	170.000000
3.000000	2.372653	170.000000
4.000000	2.271381	170.000000
5.000000	2.213845	170.000000
6.000000	2.156607	170.000000
7.000000	3.161255	170.000000
8.000000	4.166010	170.000000
9.000000	3.153246	170.000000
10.000000	2.140610	170.000000
11.000000	1.068380	170.000000
12.000000	0.000000	170.000000
13.000000	-0.863159	170.000000
14.000000	-1.724271	170.000000
15.000000	-2.394750	170.000000
16.000000	-3.064686	170.000000
17.000000	-3.070029	170.000000
18.000000	-3.075340	170.000000
19.000000	-0.891239	170.000000
20.000000	1.293150	170.000000
21.000000	1.170580	170.000000
22.000000	1.048341	170.000000
23.000000	1.736588	170.000000
24.000000	2.425401	170.000000
0.000000	2.121735	180.000000
1.000000	2.116508	180.000000
2.000000	2.111739	180.000000
3.000000	2.082867	180.000000
4.000000	2.054370	180.000000
5.000000	2.048141	180.000000
6.000000	2.042203	180.000000
7.000000	3.039608	180.000000
8.000000	4.037128	180.000000
9.000000	2.991923	180.000000
10.000000	1.946863	180.000000
11.000000	0.971433	180.000000
12.000000	0.000000	180.000000
13.000000	-0.878733	180.000000
14.000000	-1.755411	180.000000
15.000000	-2.354843	180.000000
16.000000	-2.953795	180.000000
17.000000	-2.929576	180.000000
18.000000	-2.905337	180.000000
19.000000	-0.833291	180.000000
20.000000	1.239131	180.000000
21.000000	1.093298	180.000000
22.000000	0.947904	180.000000
23.000000	1.534533	180.000000
24.000000	2.121735	180.000000
0.000000	1.832030	190.000000
1.000000	1.798741	190.000000
2.000000	1.765938	190.000000
3.000000	1.806503	190.000000
4.000000	1.847483	190.000000
5.000000	1.890196	190.000000
6.000000	1.933224	190.000000
7.000000	2.923720	190.000000
8.000000	3.914308	190.000000
9.000000	2.838010	190.000000
10.000000	1.761986	190.000000
11.000000	0.878906	190.000000
12.000000	0.000000	190.000000
13.000000	-0.893620	190.000000
14.000000	-1.785142	190.000000
15.000000	-2.316790	190.000000
16.000000	-2.847941	190.000000
17.000000	-2.795541	190.000000
18.000000	-2.743109	190.000000
19.000000	-0.777945	190.000000
20.000000	1.187625	190.000000
21.000000	1.019661	190.000000
22.000000	0.852133	190.000000
23.000000	1.341787	190.000000
24.000000	1.832030	190.000000
0.000000	1.753171	200.000000
1.000000	1.691437	200.000000
2.000000	1.630213	200.000000
3.000000	1.641064	200.000000
4.000000	1.652307	200.000000
5.000000	1.810690	200.000000
6.000000	1.969367	200.000000
7.000000	2.945297	200.000000
8.000000	3.921266	200.000000
9.000000	2.892042	200.000000
10.000000	1.863210	200.000000
11.000000	0.929360	200.000000
12.000000	0.000000	200.000000
13.000000	-1.002749	200.000000
14.000000	-2.003253	200.000000
15.000000	-2.560749	200.000000
16.000000	-3.117717	200.000000
17.000000	-2.989113	200.000000
18.000000	-2.860440	200.000000
19.000000	-0.931634	200.000000
20.000000	0.997750	200.000000
21.000000	0.950258	200.000000
22.000000	0.903355	200.000000
23.000000	1.327925	200.000000
24.000000	1.753171	200.000000
0.000000	1.870315	210.000000
1.000000	1.780223	210.000000
2.000000	1.690661	210.000000
3.000000	1.580821	210.000000
4.000000	1.471283	210.000000
5.000000	1.805038	210.000000
6.000000	2.139076	210.000000
7.000000	3.093551	210.000000
8.000000	4.048054	210.000000
9.000000	3.137129	210.000000
10.000000	2.226725	210.000000
11.000000	1.110848	210.000000
12.000000	0.000000	210.000000
13.000000	-1.197133	210.000000
14.000000	-2.391793	210.000000
15.000000	-3.060988	210.000000
16.000000	-3.729653	210.000000
17.000000	-3.481681	210.000000
18.000000	-3.233624	210.000000
19.000000	-1.275537	210.000000
20.000000	0.683269	210.000000
21.000000	0.886072	210.000000
22.000000	1.089641	210.000000
23.000000	1.479561	210.000000
24.000000	1.870315	210.000000
0.000000	1.981371	220.000000
1.000000	1.864667	220.000000
2.000000	1.748504	220.000000
3.000000	1.525121	220.000000
4.000000	1.302013	220.000000
5.000000	1.800524	220.000000
6.000000	2.299283	220.000000
7.000000	3.233536	220.000000
8.000000	4.167817	220.000000
9.000000	3.367851	220.000000
10.000000	2.568519	220.000000
11.000000	1.281487	220.000000
12.000000	0.000000	220.000000
13.000000	-1.379855	220.000000
14.000000	-2.757035	220.000000
15.000000	-3.531169	220.000000
16.000000	-4.304790	220.000000
17.000000	-3.944617	220.000000
18.000000	-3.584270	220.000000
19.000000	-1.598556	220.000000
20.000000	0.388002	220.000000
21.000000	0.826154	220.000000
22.000000	1.265296	220.000000
23.000000	1.622839	220.000000
24.000000	1.981371	220.000000
0.000000	1.956587	230.000000
1.000000	1.858368	230.000000
2.000000	1.760736	230.000000
3.000000	1.538497	230.000000
4.000000	1.316533	230.000000
5.000000	1.942951	230.000000
6.000000	2.569627	230.000000
7.000000	3.436640	230.000000
