Ls min [deg]	Ls max [deg]	Latitude min [deg]	Latitude max [deg]	Local Time min [hour]	Local Time max [hour]	Local Time center [hour]	OMEGA Median Tide [%]	OMEGA Std [%]	MCD Median Tide [%]	MCD Std [%]	Number of observations
0.000000	90.000000	-30.000000	0.000000	11.000000	12.000000	11.500000	1.390889	4.312546	0.418918	0.317870	17765.000000
0.000000	90.000000	-30.000000	0.000000	12.000000	13.000000	12.500000	nan	nan	nan	nan	0.000000
0.000000	90.000000	-30.000000	0.000000	13.000000	14.000000	13.500000	0.943212	3.486445	-1.831198	0.765891	3100.000000
0.000000	90.000000	-30.000000	0.000000	14.000000	15.000000	14.500000	5.718275	5.481185	-0.361053	0.646404	192.000000
0.000000	90.000000	-30.000000	0.000000	15.000000	16.000000	15.500000	-6.288890	4.678756	-2.387118	0.554780	12857.000000
0.000000	90.000000	-30.000000	0.000000	16.000000	17.000000	16.500000	nan	nan	nan	nan	0.000000
0.000000	90.000000	-30.000000	0.000000	17.000000	18.000000	17.500000	nan	nan	nan	nan	0.000000
0.000000	90.000000	-30.000000	0.000000	18.000000	19.000000	18.500000	nan	nan	nan	nan	0.000000
0.000000	90.000000	-30.000000	0.000000	19.000000	20.000000	19.500000	nan	nan	nan	nan	0.000000
0.000000	90.000000	-60.000000	-30.000000	6.000000	7.000000	6.500000	nan	nan	nan	nan	0.000000
0.000000	90.000000	-60.000000	-30.000000	7.000000	8.000000	7.500000	nan	nan	nan	nan	0.000000
0.000000	90.000000	-60.000000	-30.000000	8.000000	9.000000	8.500000	nan	nan	nan	nan	0.000000
0.000000	90.000000	-60.000000	-30.000000	9.000000	10.000000	9.500000	nan	nan	nan	nan	0.000000
0.000000	90.000000	-60.000000	-30.000000	10.000000	11.000000	10.500000	0.141820	5.290835	0.735129	0.079017	526.000000
0.000000	90.000000	-60.000000	-30.000000	11.000000	12.000000	11.500000	1.435952	2.205358	0.159660	0.038211	9844.000000
0.000000	90.000000	-60.000000	-30.000000	12.000000	13.000000	12.500000	nan	nan	nan	nan	0.000000
0.000000	90.000000	-60.000000	-30.000000	13.000000	14.000000	13.500000	nan	nan	nan	nan	0.000000
0.000000	90.000000	-60.000000	-30.000000	14.000000	15.000000	14.500000	nan	nan	nan	nan	0.000000
0.000000	90.000000	-60.000000	-30.000000	15.000000	16.000000	15.500000	nan	nan	nan	nan	0.000000
